npoin  nele  nsec npfix  nlod   nstr
 2500  4800     1    50     3      1
  sec               t               E              po           alpha           gamma        gkh        gkv
    1   5.0000000e+01   3.2500000e+08   2.0000000e-01   1.0000000e-05   2.4000000e+01      0.000      1.000
 node               x               y              fx              fy          deltaT   kox   koy
  202   1.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  203   2.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  204   3.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  205   4.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  206   5.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  207   6.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  208   7.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  209   8.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  210   9.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  211   1.0000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  212   1.1000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  213   1.2000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  214   1.3000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  215   1.4000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  216   1.5000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  217   1.6000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  218   1.7000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  219   1.8000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  220   1.9000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  221   2.0000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  222   2.1000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  223   2.2000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  224   2.3000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  225   2.4000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  226   2.5000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  227   2.6000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  228   2.7000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  229   2.8000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  230   2.9000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  231   3.0000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  232   3.1000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  233   3.2000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  234   3.3000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  235   3.4000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  236   3.5000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  237   3.6000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  238   3.7000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  239   3.8000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  240   3.9000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  241   4.0000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  242   4.1000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  243   4.2000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  244   4.3000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  245   4.4000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  246   4.5000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  247   4.6000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  248   4.7000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  249   4.8000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  250   4.9000000e+01   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  251   0.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  252   1.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  253   2.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  254   3.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  255   4.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  256   5.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  257   6.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  258   7.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  259   8.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
  260   9.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00     0     0
